,관할보건소,동,설치기관이름,설치기관주소,기관연락처,설치 위치,위도,경도
0,동구,마륵동,광주도시철도공사,"광주광역시 서구 상무대로 760', ' 광주광역시도시철도공사 (마륵동)",062-604-8000,사무실내,35.1454973036399,126.847766048602
1,동구,마륵동,광주도시철도공사,"광주광역시 서구 상무대로 760', ' 광주광역시도시철도공사 (마륵동)",062-604-8000,사무실내,35.1454973036399,126.847766048602
2,동구,마륵동,광주도시철도공사,"광주광역시 서구 상무대로 760', ' 광주광역시도시철도공사 (마륵동)",062-604-8000,사무실내,35.1454973036399,126.847766048602
3,동구,마륵동,광주도시철도공사,"광주광역시 서구 상무대로 760', ' 광주광역시도시철도공사 (마륵동)",062-604-8000,지하3층 역무실 앞,35.1454973036399,126.847766048602
4,동구,마륵동,광주도시철도공사,"광주광역시 서구 상무대로 760', ' 광주광역시도시철도공사 (마륵동)",062-604-8000,사무실내(지하1층),35.1454973036399,126.847766048602
5,북구,문흥동,문흥중학교,광주광역시 북구 능안로 2 문흥중 (문흥동),062-250-1500,본관 1층 중앙(인쇄실 옆),35.1860849430037,126.917999611112
6,동구,서석동,광주광역시동구보건소,광주광역시 동구 서남로 1 (서석동),062-608-3303,보건소 진료실,35.1461417002004,126.92309316107
7,북구,운암동,운암초등학교,"광주광역시 북구 서강로 79-14', ' 운암초등학교 (운암동)",062-520-5473,본관 중앙현관,35.1804785785857,126.870994861711
8,북구,운암동,운암초등학교,"광주광역시 북구 서강로 79-14', ' 운암초등학교 (운암동)",062-520-5473,강당,35.1804785785857,126.870994861711
9,남구,양림동,광주학강초등학교,"광주광역시 남구 양림로 92', ' 학강초등학교 (양림동)",062-720-5339,강당,35.1382006644559,126.918085731635
10,북구,중흥동,효동초등학교,"광주광역시 북구 서양로 99', ' 광주효동초등학교 (중흥동)",062-520-2839,강당,35.1690608499758,126.911855018015
11,북구,중흥동,효동초등학교,"광주광역시 북구 서양로 99', ' 광주효동초등학교 (중흥동)",062-520-2839,본관 1층,35.1690608499758,126.911855018015
12,동구,서석동,서남동주민센터,"광주광역시 동구 서남로 14', ' 서남동주민센터 (서석동)",062-608-3744,서남동주민센터,35.1449509557856,126.923162976621
13,광산구,신창동,진흥중학교,"광주광역시 광산구 왕버들로 307', ' 진흥중학교', '진흥고등학교 (신창동)",062-960-2289,체육관 출입구,35.196436007411,126.841688616317
14,서구,동천동,빛고을유치원,"광주광역시 서구 하남대로680번길 27', ' 대자중학교 (동천동)",062-712-1200,1층 현관,35.1690889829872,126.867521746386
15,서구,세하동,송학초등학교,"광주광역시 서구 눌재로 408', ' 송학초등학교 (세하동)",062-602-4027,1층 보건실 앞,35.1130458468448,126.830354893359
16,서구,화정동,주월초등학교,"광주광역시 서구 화운로 36', ' 주월초등학교 (화정동)",062-602-3870,강당 입구,35.1447029507878,126.883742713902
17,서구,풍암동,풍암중학교,"광주광역시 서구 풍암순환로 51', ' 풍암중학교 (풍암동)",062-650-9552,후관 2층 체육관 앞,35.1223590426506,126.878123148545
18,서구,쌍촌동,광주출입국관리사무소,광주광역시 서구 상무대로911번길 22,062-605-5205,카운티 버스,35.1528719673867,126.861914912405
19,서구,풍암동,운리초등학교,"광주광역시 서구 풍암운리로23번길 5', ' 운리초등학교 (풍암동)",062-650-3847,학교체육관(강당),35.1236849359407,126.865658950201
20,서구,화정동,주월초등학교,"광주광역시 서구 화운로 36', ' 주월초등학교 (화정동)",062-602-3870,중앙 현관 1층,35.1447029507878,126.883742713902
21,북구,각화동,각화중학교,"광주광역시 북구 군왕로 234', ' 각화중학교 (각화동)",062-250-1690,체육관 앞,35.1814937728566,126.937969712888
22,동구,지산동,조선대학교여자중학교,"광주광역시 동구 지산로 16', ' 조선대학교여자중학교 (지산동)",062-230-9400,체육관,35.1458224775011,126.93157644587
23,광산구,월곡동,월곡초등학교,"광주광역시 광산구 월곡산정로 107', ' 월곡초등학교 (월곡동)",062-958-3802,체육관입구,35.1667761187472,126.81498478181
24,북구,본촌동,본촌초등학교,"광주광역시 북구 본촌택지로30번길 22', ' 본촌초등학교 (본촌동)",062-606-6875,체육관,35.2152351232216,126.881491959591
25,동구,지산동,조선대학교여자고등학교,"광주광역시 동구 지산로 36', ' 조선대학교여자고등학교 (지산동)",062-220-7542,체육관,35.1464460489164,126.932720282964
26,광산구,용동,평동중학교,"광주광역시 광산구 평동로735번길 70', ' 평동중학교 (용동)",062-949-5811,체육관2층 현관,35.1290306721984,126.753419538696
27,광산구,장덕동,고실초등학교,"광주광역시 광산구 풍영로 300', ' 고실초등학교 (장덕동)",062-950-9999,강당,35.1983518467549,126.816592184632
28,광산구,월계동,월계중학교,"광주광역시 광산구 첨단중앙로181번길 82', ' 월계중학교 (월계동)",062-970-9790,체육관,35.2199238933035,126.832919595459
29,광산구,월계동,첨단중학교,"광주광역시 광산구 첨단내촌로 16', ' 첨단중학교 (월계동)",062-970-9550,2층강당 및 체육관,35.2082476763147,126.837597226182
30,광산구,신가동,신가초등학교,"광주광역시 광산구 신가로40번길 21', ' 신가초등학교 (신가동)",062-960-5173,본관1층 출입구,35.1834343347697,126.827877281013
31,북구,망월동,광주동초등학교,광주광역시 북구 석곡로 527 광주동초 (망월동),062-250-2700,본관 현관 앞,35.2057871470699,126.95110886078
32,광산구,월곡동,하남중앙초등학교,"광주광역시 광산구 산정로6번길 21-20', ' 하남중앙초등학교 (월곡동)",062-958-9186,강당입구,35.168700508545,126.804981475086
33,광산구,남산동,본량초등학교,"광주광역시 광산구 용진로 323', ' 본량초등학교 (남산동)",062-943-9568,강당,35.1808217594719,126.722379855274
34,광산구,월계동,산월초등학교,"광주광역시 광산구 산월로9번길 36', ' 산월초등학교 (월계동)",062-970-4701,강당,35.2109717003255,126.83905303285
35,광산구,송정동,송정중학교,"광주광역시 광산구 내상로15번길 23', ' 송정중학교 (송정동)",062-949-7547,강당,35.1413723115678,126.796326819876
36,광산구,장덕동,성덕초등학교,"광주광역시 광산구 풍영로 313', ' 성덕초등학교 (장덕동)",062-717-4280,강당,35.199146412376,126.814301085107
37,동구,내남동,지한초등학교,"광주광역시 동구 남계길 37', ' 지한초등학교 (내남동)",062-220-7672,강당,35.0940876748714,126.940205447938
38,동구,용산동,광주용산초등학교,"광주광역시 동구 화산로 334', ' 용산초등학교 (용산동)",062-230-0071,중앙 현관,35.1187678230416,126.931652609106
39,광산구,월곡동,영천중학교,"광주광역시 광산구 사암로340번안길 21', ' 영천중학교 (월곡동)",062-958-4775,2층 체육관 앞,35.1770162842321,126.810922887873
40,북구,우산동,우산초등학교,광주광역시 북구 서방로63번길 67 우산초 (우산동),062-266-1773,본관1층 교무실,35.1759524024288,126.920379030934
41,북구,두암동,광주동신중학교,"광주광역시 북구 동문대로 50', ' 동강대학', '동신중.고', '동신여중.고등학교 (두암동)",062-520-2128,2층 교사동 보건실 앞 복도,35.1694378564351,126.92234609245
42,광산구,도산동,송정초등학교,"광주광역시 광산구 송도로208번길 25', ' 송정초등학교 (도산동)",062-949-3773,본관1층 중앙화장실 옆,35.1315977759523,126.796222900481
